date,temp_max_c,temp_min_c,humidity_pct
2021-01-01,16.8,9.5,59.0
2021-01-02,18.1,7.1,54.7
2021-01-03,19.9,10.5,50.1
2021-01-04,16.7,10.0,56.9
2021-01-05,21.8,10.4,54.6
2021-01-06,18.5,12.6,53.8
2021-01-07,17.6,7.4,55.4
2021-01-08,19.3,8.5,54.8
2021-01-09,19.5,10.0,59.4
2021-01-10,19.4,6.5,57.8
2021-01-11,16.4,8.8,49.1
2021-01-12,19.0,7.9,55.9
2021-01-13,24.9,8.9,58.4
2021-01-14,16.6,8.6,57.6
2021-01-15,18.8,9.5,55.4
2021-01-16,17.2,9.8,51.8
2021-01-17,22.4,8.3,57.7
2021-01-18,19.0,10.3,52.6
2021-01-19,20.8,8.8,60.1
2021-01-20,20.1,9.2,51.9
2021-01-21,20.4,9.7,61.6
2021-01-22,18.3,9.8,57.0
2021-01-23,19.5,9.3,55.7
2021-01-24,17.9,7.6,53.4
2021-01-25,20.1,11.1,58.9
2021-01-26,20.9,10.1,57.8
2021-01-27,19.3,10.1,62.1
2021-01-28,18.4,8.0,62.8
2021-01-29,19.4,10.4,58.5
2021-01-30,17.0,12.4,62.1
2021-01-31,19.3,10.1,55.5
2021-02-01,19.4,9.8,49.0
2021-02-02,23.0,11.0,47.7
2021-02-03,23.4,8.9,50.7
2021-02-04,23.0,9.6,40.3
2021-02-05,19.4,10.3,49.6
2021-02-06,23.8,8.6,47.5
2021-02-07,22.2,9.8,38.0
2021-02-08,22.5,13.2,51.5
2021-02-09,19.4,9.4,48.4
2021-02-10,25.5,10.9,48.0
2021-02-11,23.8,9.9,54.9
2021-02-12,19.8,9.3,50.4
2021-02-13,23.6,10.9,48.7
2021-02-14,17.7,9.0,45.1
2021-02-15,20.0,10.8,46.2
2021-02-16,22.4,10.1,46.2
2021-02-17,21.2,10.6,50.9
2021-02-18,20.1,9.7,42.0
2021-02-19,23.9,12.0,46.8
2021-02-20,20.1,8.3,48.2
2021-02-21,21.4,13.1,48.5
2021-02-22,19.6,6.6,53.1
2021-02-23,21.3,7.8,48.2
2021-02-24,18.1,14.9,52.0
2021-02-25,22.0,9.8,38.9
2021-02-26,20.8,7.8,49.9
2021-02-27,17.2,8.7,52.4
2021-02-28,24.0,8.4,41.4
2021-03-01,25.6,13.2,38.1
2021-03-02,22.8,11.0,37.3
2021-03-03,22.8,13.8,44.8
2021-03-04,27.7,11.9,41.5
2021-03-05,22.2,11.8,36.8
2021-03-06,20.8,13.0,47.8
2021-03-07,25.5,13.9,43.0
2021-03-08,22.7,12.1,40.5
2021-03-09,22.0,9.6,36.1
2021-03-10,24.0,12.2,40.1
2021-03-11,26.6,12.3,44.3
2021-03-12,26.2,10.9,34.1
2021-03-13,25.4,11.0,47.3
